username,category_name,counter_number
rig_s1_admin,Rigveda Sahitya,101
rig_s1_supervisor,Rigveda Sahitya,101
rig_s1_bo,Rigveda Sahitya,101
rig_s1_cashier1,Rigveda Sahitya,101
rig_s1_cashier2,Rigveda Sahitya,101
rig_s2_admin,Rigveda Sahitya,102
rig_s2_supervisor,Rigveda Sahitya,102
rig_s2_bo,Rigveda Sahitya,102
rig_s2_cashier1,Rigveda Sahitya,102
rig_s2_cashier2,Rigveda Sahitya,102
yaj_s1_admin,Yajurveda Sahitya,103
yaj_s1_supervisor,Yajurveda Sahitya,103
yaj_s1_bo,Yajurveda Sahitya,103
yaj_s1_cashier1,Yajurveda Sahitya,103
yaj_s1_cashier2,Yajurveda Sahitya,103
yaj_s2_admin,Yajurveda Sahitya,104
yaj_s2_supervisor,Yajurveda Sahitya,104
yaj_s2_bo,Yajurveda Sahitya,104
yaj_s2_cashier1,Yajurveda Sahitya,104
yaj_s2_cashier2,Yajurveda Sahitya,104
sam_s1_admin,Samaveda Sahitya,105
sam_s1_supervisor,Samaveda Sahitya,105
sam_s1_bo,Samaveda Sahitya,105
sam_s1_cashier1,Samaveda Sahitya,105
sam_s1_cashier2,Samaveda Sahitya,105
sam_s2_admin,Samaveda Sahitya,106
sam_s2_supervisor,Samaveda Sahitya,106
sam_s2_bo,Samaveda Sahitya,106
sam_s2_cashier1,Samaveda Sahitya,106
sam_s2_cashier2,Samaveda Sahitya,106
ath_s1_admin,Atharvaveda Sahitya,107
ath_s1_supervisor,Atharvaveda Sahitya,107
ath_s1_bo,Atharvaveda Sahitya,107
ath_s1_cashier1,Atharvaveda Sahitya,107
ath_s1_cashier2,Atharvaveda Sahitya,107
ath_s2_admin,Atharvaveda Sahitya,108
ath_s2_supervisor,Atharvaveda Sahitya,108
ath_s2_bo,Atharvaveda Sahitya,108
ath_s2_cashier1,Atharvaveda Sahitya,108
ath_s2_cashier2,Atharvaveda Sahitya,108
upa_s1_admin,Upanishad Vani,109
upa_s1_supervisor,Upanishad Vani,109
upa_s1_bo,Upanishad Vani,109
upa_s1_cashier1,Upanishad Vani,109
upa_s1_cashier2,Upanishad Vani,109
upa_s2_admin,Upanishad Vani,110
upa_s2_supervisor,Upanishad Vani,110
upa_s2_bo,Upanishad Vani,110
upa_s2_cashier1,Upanishad Vani,110
upa_s2_cashier2,Upanishad Vani,110
ved_s1_admin,Vedanga Shastra,111
ved_s1_supervisor,Vedanga Shastra,111
ved_s1_bo,Vedanga Shastra,111
ved_s1_cashier1,Vedanga Shastra,111
ved_s1_cashier2,Vedanga Shastra,111
ved_s2_admin,Vedanga Shastra,112
ved_s2_supervisor,Vedanga Shastra,112
ved_s2_bo,Vedanga Shastra,112
ved_s2_cashier1,Vedanga Shastra,112
ved_s2_cashier2,Vedanga Shastra,112
dar_s1_admin,Darshana Grantha,113
dar_s1_supervisor,Darshana Grantha,113
dar_s1_bo,Darshana Grantha,113
dar_s1_cashier1,Darshana Grantha,113
dar_s1_cashier2,Darshana Grantha,113
dar_s2_admin,Darshana Grantha,114
dar_s2_supervisor,Darshana Grantha,114
dar_s2_bo,Darshana Grantha,114
dar_s2_cashier1,Darshana Grantha,114
dar_s2_cashier2,Darshana Grantha,114
ras_s1_admin,Sukrit Rasayana,115
ras_s1_supervisor,Sukrit Rasayana,115
ras_s1_bo,Sukrit Rasayana,115
ras_s1_cashier1,Sukrit Rasayana,115
ras_s1_cashier2,Sukrit Rasayana,115
ras_s2_admin,Sukrit Rasayana,116
ras_s2_supervisor,Sukrit Rasayana,116
ras_s2_bo,Sukrit Rasayana,116
ras_s2_cashier1,Sukrit Rasayana,116
ras_s2_cashier2,Sukrit Rasayana,116
ark_s1_admin,Sukrit Arka,117
ark_s1_supervisor,Sukrit Arka,117
ark_s1_bo,Sukrit Arka,117
ark_s1_cashier1,Sukrit Arka,117
ark_s1_cashier2,Sukrit Arka,117
ark_s2_admin,Sukrit Arka,118
ark_s2_supervisor,Sukrit Arka,118
ark_s2_bo,Sukrit Arka,118
ark_s2_cashier1,Sukrit Arka,118
ark_s2_cashier2,Sukrit Arka,118
gut_s1_admin,Sukrit Gutika,119
gut_s1_supervisor,Sukrit Gutika,119
gut_s1_bo,Sukrit Gutika,119
gut_s1_cashier1,Sukrit Gutika,119
gut_s1_cashier2,Sukrit Gutika,119
gut_s2_admin,Sukrit Gutika,120
gut_s2_supervisor,Sukrit Gutika,120
gut_s2_bo,Sukrit Gutika,120
gut_s2_cashier1,Sukrit Gutika,120
gut_s2_cashier2,Sukrit Gutika,120
chu_s1_admin,Sukrit Churna,121
chu_s1_supervisor,Sukrit Churna,121
chu_s1_bo,Sukrit Churna,121
chu_s1_cashier1,Sukrit Churna,121
chu_s1_cashier2,Sukrit Churna,121
chu_s2_admin,Sukrit Churna,122
chu_s2_supervisor,Sukrit Churna,122
chu_s2_bo,Sukrit Churna,122
chu_s2_cashier1,Sukrit Churna,122
chu_s2_cashier2,Sukrit Churna,122
tai_s1_admin,Sukrit Tailam,123
tai_s1_supervisor,Sukrit Tailam,123
tai_s1_bo,Sukrit Tailam,123
tai_s1_cashier1,Sukrit Tailam,123
tai_s1_cashier2,Sukrit Tailam,123
tai_s2_admin,Sukrit Tailam,124
tai_s2_supervisor,Sukrit Tailam,124
tai_s2_bo,Sukrit Tailam,124
tai_s2_cashier1,Sukrit Tailam,124
tai_s2_cashier2,Sukrit Tailam,124
lep_s1_admin,Sukrit Lepa,125
lep_s1_supervisor,Sukrit Lepa,125
lep_s1_bo,Sukrit Lepa,125
lep_s1_cashier1,Sukrit Lepa,125
lep_s1_cashier2,Sukrit Lepa,125
lep_s2_admin,Sukrit Lepa,126
lep_s2_supervisor,Sukrit Lepa,126
lep_s2_bo,Sukrit Lepa,126
lep_s2_cashier1,Sukrit Lepa,126
lep_s2_cashier2,Sukrit Lepa,126
tea_s1_admin,Soma Herbal Tea,127
tea_s1_supervisor,Soma Herbal Tea,127
tea_s1_bo,Soma Herbal Tea,127
tea_s1_cashier1,Soma Herbal Tea,127
tea_s1_cashier2,Soma Herbal Tea,127
tea_s2_admin,Soma Herbal Tea,128
tea_s2_supervisor,Soma Herbal Tea,128
tea_s2_bo,Soma Herbal Tea,128
tea_s2_cashier1,Soma Herbal Tea,128
tea_s2_cashier2,Soma Herbal Tea,128
her_s1_admin,Vedic Herbs,129
her_s1_supervisor,Vedic Herbs,129
her_s1_bo,Vedic Herbs,129
her_s1_cashier1,Vedic Herbs,129
her_s1_cashier2,Vedic Herbs,129
her_s2_admin,Vedic Herbs,130
her_s2_supervisor,Vedic Herbs,130
her_s2_bo,Vedic Herbs,130
her_s2_cashier1,Vedic Herbs,130
her_s2_cashier2,Vedic Herbs,130
bho_s1_admin,Sattvik Bhojan,131
bho_s1_supervisor,Sattvik Bhojan,131
bho_s1_bo,Sattvik Bhojan,131
bho_s1_cashier1,Sattvik Bhojan,131
bho_s1_cashier2,Sattvik Bhojan,131
bho_s2_admin,Sattvik Bhojan,132
bho_s2_supervisor,Sattvik Bhojan,132
bho_s2_bo,Sattvik Bhojan,132
bho_s2_cashier1,Sattvik Bhojan,132
bho_s2_cashier2,Sattvik Bhojan,132
kra_s1_admin,Panchgavya Kruti,133
kra_s1_supervisor,Panchgavya Kruti,133
kra_s1_bo,Panchgavya Kruti,133
kra_s1_cashier1,Panchgavya Kruti,133
kra_s1_cashier2,Panchgavya Kruti,133
kra_s2_admin,Panchgavya Kruti,134
kra_s2_supervisor,Panchgavya Kruti,134
kra_s2_bo,Panchgavya Kruti,134
kra_s2_cashier1,Panchgavya Kruti,134
kra_s2_cashier2,Panchgavya Kruti,134
gan_s1_admin,Ganga Jal Upachar,135
gan_s1_supervisor,Ganga Jal Upachar,135
gan_s1_bo,Ganga Jal Upachar,135
gan_s1_cashier1,Ganga Jal Upachar,135
gan_s1_cashier2,Ganga Jal Upachar,135
gan_s2_admin,Ganga Jal Upachar,136
gan_s2_supervisor,Ganga Jal Upachar,136
gan_s2_bo,Ganga Jal Upachar,136
gan_s2_cashier1,Ganga Jal Upachar,136
gan_s2_cashier2,Ganga Jal Upachar,136
aro_s1_admin,Aromatherapy Oils,137
aro_s1_supervisor,Aromatherapy Oils,137
aro_s1_bo,Aromatherapy Oils,137
aro_s1_cashier1,Aromatherapy Oils,137
aro_s1_cashier2,Aromatherapy Oils,137
aro_s2_admin,Aromatherapy Oils,138
aro_s2_supervisor,Aromatherapy Oils,138
aro_s2_bo,Aromatherapy Oils,138
aro_s2_cashier1,Aromatherapy Oils,138
aro_s2_cashier2,Aromatherapy Oils,138
san_s1_admin,Sanskrit Bhasha,139
san_s1_supervisor,Sanskrit Bhasha,139
san_s1_bo,Sanskrit Bhasha,139
