product_name,shop_name,quantity
Rigveda Vol 1 Grand Edition (RIG),Rigveda Sahitya_counter_101,73
Rigveda Vol 1 Grand Edition (RIG),Rigveda Sahitya_counter_102,226
Rigveda Vol 2 Standard Text (RIG),Rigveda Sahitya_counter_101,253
Rigveda Vol 2 Standard Text (RIG),Rigveda Sahitya_counter_102,92
Rigveda Vol 3 Advanced Study (RIG),Rigveda Sahitya_counter_101,166
Rigveda Vol 3 Advanced Study (RIG),Rigveda Sahitya_counter_102,116
Rigveda Vol 4 Complete Guide (RIG),Rigveda Sahitya_counter_101,184
Rigveda Vol 4 Complete Guide (RIG),Rigveda Sahitya_counter_102,69
Rigveda Foundational Basic Text (RIG),Rigveda Sahitya_counter_101,152
Rigveda Foundational Basic Text (RIG),Rigveda Sahitya_counter_102,52
Rigveda Classical Commentary (RIG),Rigveda Sahitya_counter_101,130
Rigveda Classical Commentary (RIG),Rigveda Sahitya_counter_102,93
Rigveda Practical Workbook Set (RIG),Rigveda Sahitya_counter_101,186
Rigveda Practical Workbook Set (RIG),Rigveda Sahitya_counter_102,90
Rigveda Authentic Handbook (RIG),Rigveda Sahitya_counter_101,181
Rigveda Authentic Handbook (RIG),Rigveda Sahitya_counter_102,194
Rigveda Wall Charts Set (RIG),Rigveda Sahitya_counter_101,111
Rigveda Wall Charts Set (RIG),Rigveda Sahitya_counter_102,171
Rigveda Reference Manual (RIG),Rigveda Sahitya_counter_101,150
Rigveda Reference Manual (RIG),Rigveda Sahitya_counter_102,64
Rigveda Premium Natural Essence (RIG),Rigveda Sahitya_counter_101,231
Rigveda Premium Natural Essence (RIG),Rigveda Sahitya_counter_102,199
Rigveda Pure Extract Drops (RIG),Rigveda Sahitya_counter_101,135
Rigveda Pure Extract Drops (RIG),Rigveda Sahitya_counter_102,182
Rigveda Therapeutic Tablets (RIG),Rigveda Sahitya_counter_101,129
Rigveda Therapeutic Tablets (RIG),Rigveda Sahitya_counter_102,110
Rigveda Herbal Powder Mix (RIG),Rigveda Sahitya_counter_101,134
Rigveda Herbal Powder Mix (RIG),Rigveda Sahitya_counter_102,67
Rigveda Premium Concentrated Oil (RIG),Rigveda Sahitya_counter_101,70
Rigveda Premium Concentrated Oil (RIG),Rigveda Sahitya_counter_102,301
Rigveda Special Application Lepa (RIG),Rigveda Sahitya_counter_101,112
Rigveda Special Application Lepa (RIG),Rigveda Sahitya_counter_102,217
Rigveda Natural Rejuvenator (RIG),Rigveda Sahitya_counter_101,95
Rigveda Natural Rejuvenator (RIG),Rigveda Sahitya_counter_102,303
Rigveda Pure Aqueous Drops (RIG),Rigveda Sahitya_counter_101,363
Rigveda Pure Aqueous Drops (RIG),Rigveda Sahitya_counter_102,96
Rigveda Ultimate Seeker Starter Kit (RIG),Rigveda Sahitya_counter_101,256
Rigveda Ultimate Seeker Starter Kit (RIG),Rigveda Sahitya_counter_102,240
Rigveda Safe Storage Guide (RIG),Rigveda Sahitya_counter_101,185
Rigveda Safe Storage Guide (RIG),Rigveda Sahitya_counter_102,230
Yajurveda Vol 1 Grand Edition (YAJ),Yajurveda Sahitya_counter_103,83
Yajurveda Vol 1 Grand Edition (YAJ),Yajurveda Sahitya_counter_104,353
Yajurveda Vol 2 Standard Text (YAJ),Yajurveda Sahitya_counter_103,90
Yajurveda Vol 2 Standard Text (YAJ),Yajurveda Sahitya_counter_104,225
Yajurveda Vol 3 Advanced Study (YAJ),Yajurveda Sahitya_counter_103,164
Yajurveda Vol 3 Advanced Study (YAJ),Yajurveda Sahitya_counter_104,223
Yajurveda Vol 4 Complete Guide (YAJ),Yajurveda Sahitya_counter_103,109
Yajurveda Vol 4 Complete Guide (YAJ),Yajurveda Sahitya_counter_104,179
Yajurveda Foundational Basic Text (YAJ),Yajurveda Sahitya_counter_103,262
Yajurveda Foundational Basic Text (YAJ),Yajurveda Sahitya_counter_104,116
Yajurveda Classical Commentary (YAJ),Yajurveda Sahitya_counter_103,111
Yajurveda Classical Commentary (YAJ),Yajurveda Sahitya_counter_104,117
Yajurveda Practical Workbook Set (YAJ),Yajurveda Sahitya_counter_103,101
Yajurveda Practical Workbook Set (YAJ),Yajurveda Sahitya_counter_104,138
Yajurveda Authentic Handbook (YAJ),Yajurveda Sahitya_counter_103,154
Yajurveda Authentic Handbook (YAJ),Yajurveda Sahitya_counter_104,79
Yajurveda Wall Charts Set (YAJ),Yajurveda Sahitya_counter_103,283
Yajurveda Wall Charts Set (YAJ),Yajurveda Sahitya_counter_104,177
Yajurveda Reference Manual (YAJ),Yajurveda Sahitya_counter_103,225
Yajurveda Reference Manual (YAJ),Yajurveda Sahitya_counter_104,50
Yajurveda Premium Natural Essence (YAJ),Yajurveda Sahitya_counter_103,172
Yajurveda Premium Natural Essence (YAJ),Yajurveda Sahitya_counter_104,319
Yajurveda Pure Extract Drops (YAJ),Yajurveda Sahitya_counter_103,280
Yajurveda Pure Extract Drops (YAJ),Yajurveda Sahitya_counter_104,175
Yajurveda Therapeutic Tablets (YAJ),Yajurveda Sahitya_counter_103,232
Yajurveda Therapeutic Tablets (YAJ),Yajurveda Sahitya_counter_104,110
Yajurveda Herbal Powder Mix (YAJ),Yajurveda Sahitya_counter_103,184
Yajurveda Herbal Powder Mix (YAJ),Yajurveda Sahitya_counter_104,262
Yajurveda Premium Concentrated Oil (YAJ),Yajurveda Sahitya_counter_103,269
Yajurveda Premium Concentrated Oil (YAJ),Yajurveda Sahitya_counter_104,63
Yajurveda Special Application Lepa (YAJ),Yajurveda Sahitya_counter_103,274
Yajurveda Special Application Lepa (YAJ),Yajurveda Sahitya_counter_104,225
Yajurveda Natural Rejuvenator (YAJ),Yajurveda Sahitya_counter_103,88
Yajurveda Natural Rejuvenator (YAJ),Yajurveda Sahitya_counter_104,183
Yajurveda Pure Aqueous Drops (YAJ),Yajurveda Sahitya_counter_103,112
Yajurveda Pure Aqueous Drops (YAJ),Yajurveda Sahitya_counter_104,220
Yajurveda Ultimate Seeker Starter Kit (YAJ),Yajurveda Sahitya_counter_103,213
Yajurveda Ultimate Seeker Starter Kit (YAJ),Yajurveda Sahitya_counter_104,201
Yajurveda Safe Storage Guide (YAJ),Yajurveda Sahitya_counter_103,131
Yajurveda Safe Storage Guide (YAJ),Yajurveda Sahitya_counter_104,198
Samaveda Vol 1 Grand Edition (SAM),Samaveda Sahitya_counter_105,56
Samaveda Vol 1 Grand Edition (SAM),Samaveda Sahitya_counter_106,152
Samaveda Vol 2 Standard Text (SAM),Samaveda Sahitya_counter_105,148
Samaveda Vol 2 Standard Text (SAM),Samaveda Sahitya_counter_106,135
Samaveda Vol 3 Advanced Study (SAM),Samaveda Sahitya_counter_105,144
Samaveda Vol 3 Advanced Study (SAM),Samaveda Sahitya_counter_106,190
Samaveda Vol 4 Complete Guide (SAM),Samaveda Sahitya_counter_105,188
Samaveda Vol 4 Complete Guide (SAM),Samaveda Sahitya_counter_106,91
Samaveda Foundational Basic Text (SAM),Samaveda Sahitya_counter_105,103
Samaveda Foundational Basic Text (SAM),Samaveda Sahitya_counter_106,259
Samaveda Classical Commentary (SAM),Samaveda Sahitya_counter_105,393
Samaveda Classical Commentary (SAM),Samaveda Sahitya_counter_106,79
Samaveda Practical Workbook Set (SAM),Samaveda Sahitya_counter_105,146
Samaveda Practical Workbook Set (SAM),Samaveda Sahitya_counter_106,268
Samaveda Authentic Handbook (SAM),Samaveda Sahitya_counter_105,68
Samaveda Authentic Handbook (SAM),Samaveda Sahitya_counter_106,172
Samaveda Wall Charts Set (SAM),Samaveda Sahitya_counter_105,190
Samaveda Wall Charts Set (SAM),Samaveda Sahitya_counter_106,276
Samaveda Reference Manual (SAM),Samaveda Sahitya_counter_105,278
Samaveda Reference Manual (SAM),Samaveda Sahitya_counter_106,188
Samaveda Premium Natural Essence (SAM),Samaveda Sahitya_counter_105,108
Samaveda Premium Natural Essence (SAM),Samaveda Sahitya_counter_106,316
Samaveda Pure Extract Drops (SAM),Samaveda Sahitya_counter_105,219
Samaveda Pure Extract Drops (SAM),Samaveda Sahitya_counter_106,148
Samaveda Therapeutic Tablets (SAM),Samaveda Sahitya_counter_105,168
Samaveda Therapeutic Tablets (SAM),Samaveda Sahitya_counter_106,276
Samaveda Herbal Powder Mix (SAM),Samaveda Sahitya_counter_105,278
Samaveda Herbal Powder Mix (SAM),Samaveda Sahitya_counter_106,82
Samaveda Premium Concentrated Oil (SAM),Samaveda Sahitya_counter_105,75
Samaveda Premium Concentrated Oil (SAM),Samaveda Sahitya_counter_106,142
Samaveda Special Application Lepa (SAM),Samaveda Sahitya_counter_105,372
Samaveda Special Application Lepa (SAM),Samaveda Sahitya_counter_106,56
Samaveda Natural Rejuvenator (SAM),Samaveda Sahitya_counter_105,54
Samaveda Natural Rejuvenator (SAM),Samaveda Sahitya_counter_106,252
Samaveda Pure Aqueous Drops (SAM),Samaveda Sahitya_counter_105,183
Samaveda Pure Aqueous Drops (SAM),Samaveda Sahitya_counter_106,60
Samaveda Ultimate Seeker Starter Kit (SAM),Samaveda Sahitya_counter_105,140
Samaveda Ultimate Seeker Starter Kit (SAM),Samaveda Sahitya_counter_106,60
Samaveda Safe Storage Guide (SAM),Samaveda Sahitya_counter_105,56
Samaveda Safe Storage Guide (SAM),Samaveda Sahitya_counter_106,233
Atharvaveda Vol 1 Grand Edition (ATH),Atharvaveda Sahitya_counter_107,142
Atharvaveda Vol 1 Grand Edition (ATH),Atharvaveda Sahitya_counter_108,304
